name	sex	n
Abdullah	pojkar	28
Abdullahi	flickor	NA
Abdullahi	pojkar	20
Abdullatif	flickor	NA
Abdullatif	pojkar	NA
Abdulloh	flickor	NA
Abdulloh	pojkar	3
Abdullrahman	flickor	NA
Abdullrahman	pojkar	NA
Abdullrhman	flickor	NA
Abdullrhman	pojkar	NA
Abdul-Malik	flickor	NA
Abdul-Malik	pojkar	NA
Abdulqadir	flickor	NA
Abdulqadir	pojkar	NA
Abdulrahim	flickor	NA
Abdulrahim	pojkar	NA
Abdulrahman	flickor	NA
Abdulrahman	pojkar	7
Abdulrazak	flickor	NA
Abdulrazak	pojkar	2
Abdulwahab	flickor	NA
Abdulwahab	pojkar	NA
Abdurahman	flickor	NA
Abdurahman	pojkar	3
Abdurrahim	flickor	NA
Abdurrahim	pojkar	2
Abdurrahman	flickor	NA
Abdurrahman	pojkar	2
Abed	flickor	NA
Abed	pojkar	2
Abed Alrahman	flickor	NA
Abed Alrahman	pojkar	NA
Abeeha	flickor	NA
Abeeha	pojkar	NA
Abeer	flickor	NA
Abeer	pojkar	NA
Abeera	flickor	NA
Abeera	pojkar	NA
Abel	flickor	NA
Abel	pojkar	13
Abenezer	flickor	NA
Abenezer	pojkar	NA
Abhiram	flickor	NA
Abhiram	pojkar	2
Abia	flickor	NA
Abia	pojkar	NA
Abid	flickor	NA
Abid	pojkar	NA
Abida	flickor	NA
Abida	pojkar	NA
Abiel	flickor	NA
Abiel	pojkar	3
Abigael	flickor	NA
Abigael	pojkar	NA
Abigail	flickor	28
Abigail	pojkar	NA
Abigayl	flickor	NA
Abigayl	pojkar	NA
Abigel	flickor	NA
Abigel	pojkar	NA
Abiha	flickor	2
Abiha	pojkar	NA
Abiir	flickor	NA
Abiir	pojkar	NA
Abir	flickor	4
Abir	pojkar	NA
Abolfazl	flickor	NA
Abolfazl	pojkar	NA
Aboubakar	flickor	NA
Aboubakar	pojkar	NA
Abra	flickor	NA
Abra	pojkar	NA
Abraham	flickor	NA
Abraham	pojkar	9
Abram	flickor	NA
Abram	pojkar	NA
Abrar	flickor	10
Abrar	pojkar	NA
Abrham	flickor	NA
Abrham	pojkar	NA
Abril	flickor	NA
Abril	pojkar	NA
Absalat	flickor	NA
Absalat	pojkar	NA
Abshir	flickor	NA
Abshir	pojkar	NA
Abtin	flickor	NA
Abtin	pojkar	NA
Abu	flickor	NA
Abu	pojkar	NA
Abu Bakr	flickor	NA
Abu Bakr	pojkar	2
Abubakar	flickor	NA
Abubakar	pojkar	7
Abu-Bakar	flickor	NA
Abu-Bakar	pojkar	NA
Abubaker	flickor	NA
Abubaker	pojkar	NA
Abubakir	flickor	NA
Abubakir	pojkar	NA
Abubakr	flickor	NA
Abubakr	pojkar	3
Abukar	flickor	NA
Abukar	pojkar	NA
Abulfazl	flickor	NA
Abulfazl	pojkar	NA
Abyan	flickor	NA
Abyan	pojkar	NA
Ace	flickor	NA
Ace	pojkar	2
Acelya	flickor	NA
Acelya	pojkar	NA
Achilleas	flickor	NA
Achilleas	pojkar	NA
Achilles	flickor	NA
Achilles	pojkar	3
Acke	flickor	NA
Acke	pojkar	14
Ada	flickor	63
Ada	pojkar	NA
Adal	flickor	NA
Adal	pojkar	NA
Adalia	flickor	2
Adalia	pojkar	NA
Adam	flickor	NA
Adam	pojkar	638
Ádám	flickor	NA
Ádám	pojkar	NA
Adam Ahmad	flickor	NA
Adam Ahmad	pojkar	NA
Adama	flickor	NA
Adama	pojkar	3
Adamas	flickor	NA
Adamas	pojkar	NA
Adan	flickor	NA
Adan	pojkar	4
Adanna	flickor	NA
Adanna	pojkar	NA
Adar	flickor	3
Adar	pojkar	4
Adas	flickor	NA
Adas	pojkar	2
Adde	flickor	NA
Adde	pojkar	NA
Addi	flickor	NA
Addi	pojkar	NA
Addin	flickor	NA
Addin	pojkar	NA
Adea	flickor	6
Adea	pojkar	NA
Adeeb	flickor	NA
Adeeb	pojkar	NA
Adeen	flickor	NA
Adeen	pojkar	NA
Adeena	flickor	3
Adeena	pojkar	NA
Adel	flickor	NA
Adel	pojkar	11
Adél	flickor	NA
Adél	pojkar	NA
Adela	flickor	9
Adela	pojkar	NA
Adéla	flickor	NA
Adéla	pojkar	NA
Adelaide	flickor	NA
Adelaide	pojkar	NA
Adele	flickor	68
Adele	pojkar	NA
Adelé	flickor	NA
Adelé	pojkar	NA
Adéle	flickor	5
Adéle	pojkar	NA
Adèle	flickor	11
Adèle	pojkar	NA
Adelia	flickor	17
Adelia	pojkar	NA
Adélia	flickor	NA
Adélia	pojkar	NA
Adelie	flickor	NA
Adelie	pojkar	NA
Adélie	flickor	NA
Adélie	pojkar	NA
Adelin	flickor	4
Adelin	pojkar	NA
Adelina	flickor	12
Adelina	pojkar	NA
Adeline	flickor	18
Adeline	pojkar	NA
Adelinn	flickor	NA
Adelinn	pojkar	NA
Adelinne	flickor	NA
Adelinne	pojkar	NA
Adelisa	flickor	NA
Adelisa	pojkar	NA
Adell	flickor	2
Adell	pojkar	NA
Adella	flickor	2
Adella	pojkar	NA
Adelle	flickor	6
Adelle	pojkar	NA
Adelya	flickor	NA
Adelya	pojkar	NA
Adelyn	flickor	NA
Adelyn	pojkar	NA
Adem	flickor	NA
Adem	pojkar	23
Aden	flickor	NA
Aden	pojkar	NA
Adeola	flickor	NA
Adeola	pojkar	NA
Adham	flickor	NA
Adham	pojkar	3
Adhvik	flickor	NA
Adhvik	pojkar	2
Adi	flickor	NA
Adi	pojkar	5
Adia	flickor	NA
Adia	pojkar	NA
Adiam	flickor	2
Adiam	pojkar	NA
Adian	flickor	NA
Adian	pojkar	11
Adib	flickor	NA
Adib	pojkar	NA
Adiel	flickor	NA
Adiel	pojkar	2
Adijan	flickor	NA
Adijan	pojkar	NA
Adil	flickor	NA
Adil	pojkar	2
Adila	flickor	NA
Adila	pojkar	NA
Adile	flickor	NA
Adile	pojkar	NA
Adin	flickor	NA
Adin	pojkar	8
Adina	flickor	21
Adina	pojkar	NA
Adine	flickor	2
Adine	pojkar	NA
Adis	flickor	NA
Adis	pojkar	NA
Adisa	flickor	NA
Adisa	pojkar	NA
Adison	flickor	NA
Adison	pojkar	NA
Aditi	flickor	5
Aditi	pojkar	NA
Aditya	flickor	NA
Aditya	pojkar	NA
